City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
247,Jaguariaiva,BR,-24.2511,-49.7058,68.27,83,57,3.04,Clouds
248,Diego De Almagro,CL,-26.3667,-70.05,69.94,30,34,7.76,Clouds
249,Asosa,ET,10.0667,34.5333,70.45,47,91,4.45,Clouds
250,Luderitz,NA,-26.6481,15.1594,63.63,68,0,6.51,Clear
251,Oistins,BB,13.0667,-59.5333,78.71,72,82,20.8,Clouds
252,Batsfjord,NO,70.6345,29.7185,37.18,87,75,23.02,Clouds
253,Korfez,TR,40.7767,29.7297,63.48,59,50,2.42,Clouds
254,Saint-Pierre,RE,-21.3393,55.4781,76.91,83,100,18.41,Clouds
255,Sinnamary,GF,5.3833,-52.95,77.7,88,60,12.55,Clouds
256,Wajima,JP,37.4,136.9,57.6,61,0,10.2,Clear
257,Keti Bandar,PK,24.1447,67.4497,79.65,81,93,11.79,Clouds
258,Puerto Del Rosario,ES,28.5004,-13.8627,64.15,77,0,11.5,Clear
259,College,US,64.8569,-147.8028,18.59,42,20,5.75,Clouds
260,Sorland,NO,67.667,12.6934,39.87,82,100,17.16,Clouds
261,Westport,US,41.1415,-73.3579,56.95,57,20,13.8,Clouds
262,Mackay,AU,-21.15,149.2,77.68,85,69,19.48,Clouds
263,Hasaki,JP,35.7333,140.8333,55.8,78,0,6.93,Clear
264,Puerto Ayora,EC,-0.7393,-90.3518,82.36,72,94,7.05,Rain
265,San Patricio,US,28.017,-97.5169,86.16,32,1,22.46,Clear
266,Forbes,AU,-33.3833,148.0167,63.91,80,0,5.03,Clear
267,Lufilufi,WS,-13.8745,-171.5986,91.18,74,8,12.15,Clear
268,Pedernales,DO,18.0384,-71.744,82.04,66,100,4.5,Clouds
269,Cape Girardeau,US,37.3834,-89.7168,62.55,26,0,5.01,Clear
270,Saint-Philippe,RE,-21.3585,55.7679,76.59,84,43,11.05,Rain
271,Eldoret,KE,0.5204,35.2699,58.05,75,14,7.92,Clouds
272,Tuscaloosa,US,33.2098,-87.5692,65.98,26,0,13.8,Clear
273,Chapais,CA,49.7834,-74.8492,34.86,99,98,4.5,Snow
274,Deputatskiy,RU,69.3,139.9,-12.37,98,90,1.23,Clouds
275,Port Hawkesbury,CA,45.6169,-61.3485,48.87,90,100,5.75,Clouds
276,Narsaq,GL,60.9167,-46.05,35.82,65,2,2.91,Clear
277,Forio,IT,40.7342,13.8646,55.69,72,51,8.01,Clouds
278,Zhob,PK,31.3411,69.4481,70.75,12,2,2.51,Clear
279,Nelson Bay,AU,-32.7167,152.15,66.09,96,17,3.44,Clouds
280,Aleksandrov Gay,RU,50.147,48.5704,45.18,95,54,3.47,Clouds
281,Bataipora,BR,-22.2953,-53.2711,78.82,71,93,2.66,Clouds
282,Nishihara,JP,26.1842,127.7558,71.65,94,100,8.05,Clouds
283,Flin Flon,CA,54.7682,-101.865,38.01,97,100,3.31,Clouds
284,Sakakah,SA,29.9697,40.2064,69.48,18,0,6.35,Clear
285,Qaqortoq,GL,60.7167,-46.0333,27.16,74,3,2.68,Clear
286,Tiksi,RU,71.6872,128.8694,-12.5,100,90,5.21,Clouds
287,Scarborough,GB,54.2797,-0.4044,38.64,82,69,4.47,Clouds
288,Qasigiannguit,GL,68.8193,-51.1922,14.25,93,91,4.79,Clouds
289,Havre-Saint-Pierre,CA,50.2334,-63.5986,35.96,93,100,4.61,Clouds
290,Alibag,IN,18.6411,72.8792,84.27,86,90,3.6,Clouds
291,Northam,GB,51.0333,-4.2167,38.39,73,84,3.87,Clouds
292,Jizan,SA,17.3333,42.6667,81.18,62,0,2.64,Clear
293,Spasskoye,RU,44.6108,132.7969,45.86,63,97,4.29,Clouds
294,Galveston,US,29.3669,-94.9669,82.51,66,0,16.11,Clear
295,Guantanamo,CU,20.1444,-75.2092,81.97,75,93,1.88,Clouds
296,Hays,US,30.0502,-98.0336,87.1,22,0,8.99,Clear
297,Riverton,US,40.5219,-111.9391,58.15,25,0,14.97,Clear
298,Tateyama,JP,34.9833,139.8667,61.11,77,0,4.81,Clear
