City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Nemuro,JP,43.3236,145.575,33.49,81,49,8.21,Clouds
122,Fort Nelson,CA,58.8053,-122.7002,45.99,36,100,6.91,Clouds
123,Port Elizabeth,ZA,-33.918,25.5701,55.69,96,100,12.66,Rain
124,Antofagasta,CL,-23.65,-70.4,61.88,81,15,3.24,Clouds
125,Chuy,UY,-33.6971,-53.4616,62.55,94,100,5.79,Clouds
126,Great Bend,US,38.3645,-98.7648,51.93,33,20,23.02,Clouds
127,Vacaria,BR,-28.5122,-50.9339,55.29,96,99,8.41,Clouds
128,Isangel,VU,-19.55,169.2667,84.42,69,73,11.48,Clouds
129,Ossora,RU,59.2353,163.0719,27.86,89,99,2.8,Clouds
130,Progreso,MX,21.2833,-89.6667,82.11,88,89,23.49,Clouds
131,Beringovskiy,RU,63.05,179.3167,10.24,65,3,2.13,Clear
132,Hami,CN,42.8,93.45,68.25,13,3,6.53,Clear
133,Peniche,PT,39.3558,-9.3811,58.28,84,100,12.97,Clouds
134,La Asuncion,VE,11.0333,-63.8628,77.49,85,2,17.0,Clear
135,Husavik,IS,66.0449,-17.3389,24.04,82,100,3.33,Clouds
136,Nobres,BR,-14.7203,-56.3275,76.24,78,29,1.83,Clouds
137,Vaini,TO,-21.2,-175.2,84.36,79,75,3.44,Clouds
138,Saint-Augustin,CA,51.226,-58.6502,24.37,93,63,6.02,Clouds
139,Lac Du Bonnet,CA,50.2536,-96.0612,31.55,80,81,12.71,Clouds
140,Hermanus,ZA,-34.4187,19.2345,51.8,82,0,11.7,Clear
141,Nikolskoye,RU,59.7035,30.7861,39.79,98,100,10.89,Clouds
142,Saint George,US,37.1041,-113.5841,79.39,10,0,12.66,Clear
143,Thompson,CA,55.7435,-97.8558,41.16,33,0,3.44,Clear
144,Vila Velha,BR,-20.3297,-40.2925,76.95,84,75,4.61,Clouds
145,Westport,US,41.1415,-73.3579,53.33,96,100,10.0,Rain
146,Ternate,ID,0.8,127.4,82.13,78,100,7.29,Clouds
147,Dzaoudzi,YT,-12.7887,45.2699,78.69,89,0,6.91,Clear
148,East London,ZA,-33.0153,27.9116,58.44,68,17,12.3,Rain
149,Umm Lajj,SA,25.0213,37.2685,85.51,24,68,10.07,Clouds
150,Cherskiy,RU,68.75,161.3,-1.16,88,31,6.33,Clouds
151,San Patricio,US,28.017,-97.5169,75.29,27,0,8.7,Clear
152,Sinnamary,GF,5.3833,-52.95,77.25,90,100,11.81,Clouds
153,Igrim,RU,63.1906,64.4162,16.25,95,100,6.6,Clouds
154,Bluff,NZ,-46.6,168.3333,56.23,64,83,28.3,Clouds
155,Kavieng,PG,-2.5744,150.7967,78.73,87,100,7.76,Rain
156,Edd,ER,13.9297,41.6925,84.06,39,0,9.33,Clear
157,Puerto Ayora,EC,-0.7393,-90.3518,78.24,87,13,6.38,Clouds
158,El Sauzal,MX,31.9,-116.6833,71.42,59,0,12.53,Clear
159,Aklavik,CA,68.2191,-135.0107,29.01,90,100,5.97,Clouds
160,Pangnirtung,CA,66.1451,-65.7125,12.09,95,99,4.21,Clouds
161,Lensk,RU,60.7253,114.9278,28.9,92,100,3.38,Snow
162,Ust-Kuyga,RU,70.0167,135.6,9.45,69,80,1.5,Clouds
163,Yenagoa,NG,4.9247,6.2642,78.51,91,100,4.09,Clouds
164,Syracuse,IT,37.0881,15.2792,53.19,66,0,11.12,Clear
165,Rudnogorsk,RU,57.2639,103.7519,32.79,74,88,10.42,Clouds
166,Bethel,US,41.3712,-73.414,50.85,91,100,16.11,Rain
167,Alyangula,AU,-13.8483,136.4192,87.67,62,40,6.91,Clouds
168,Saint-Pierre,RE,-21.3393,55.4781,73.9,78,75,6.91,Clouds
169,Pisco,PE,-13.7,-76.2167,66.25,82,0,14.97,Clear
170,Heinola,FI,61.2056,26.0381,37.0,97,100,14.41,Clouds
171,Talnakh,RU,69.4865,88.3972,2.21,94,99,3.38,Clouds
172,Tiksi,RU,71.6872,128.8694,-0.69,95,40,2.89,Clouds
173,Acapulco,MX,16.8634,-99.8901,76.51,76,4,3.38,Clear
174,Jibuti,DJ,11.5,42.5,71.82,76,84,11.86,Clouds
175,Russell,US,32.3502,-85.1999,61.83,47,21,10.04,Clouds
176,Kavaratti,IN,10.5669,72.642,82.8,73,96,3.29,Clouds
177,San Cristobal,VE,7.7669,-72.225,73.58,82,100,1.88,Clouds
178,Taltal,CL,-25.4,-70.4833,68.63,63,11,4.99,Clouds
179,Jihlava,CZ,49.3961,15.5912,44.96,66,100,20.69,Clouds
180,Coalinga,US,36.1397,-120.3602,91.65,32,6,4.03,Clear
181,Lososina,RU,48.9975,140.3106,35.65,42,50,7.02,Clouds
182,Tura,IN,25.5198,90.2201,79.03,64,0,4.09,Clear
183,Wagar,SD,16.1525,36.2032,79.88,29,0,9.64,Clear
184,Port Hardy,CA,50.6996,-127.4199,48.38,81,100,2.3,Rain
185,Havelock,US,34.8791,-76.9013,71.6,91,100,19.57,Clouds
186,Sayyan,YE,15.1718,44.3244,52.61,12,0,3.02,Clear
187,Sobolevo,RU,54.4299,31.8996,43.45,80,100,16.49,Clouds
188,Palmares Do Sul,BR,-30.2578,-50.5097,67.93,92,100,4.56,Clouds
189,Portland,US,45.5234,-122.6762,75.24,37,75,10.36,Clouds
190,Yulara,AU,-25.2406,130.9889,76.84,29,0,12.66,Clear
191,Rodeo,US,38.033,-122.2669,89.92,39,0,6.91,Clear
192,Puerto Madero,MX,14.7208,-92.4215,82.18,66,26,1.59,Clouds
193,Nuevo Progreso,MX,23.1667,-97.95,66.54,55,87,9.4,Clouds
194,Hilo,US,19.7297,-155.09,78.53,75,100,10.36,Clouds
195,Alice Springs,AU,-23.7,133.8833,76.55,27,0,11.5,Clear
196,Nuuk,GL,64.1835,-51.7216,12.81,92,32,4.23,Clouds
