City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name,Hotel name
195,Alice Springs,AU,76.55,Clear,-23.7,133.8833,,Desert Palms Alice Springs
199,Puerto Escondido,MX,79.43,Clouds,15.85,-97.0667,,Aldea del Bazar Hotel and Spa
203,Manono,CD,69.15,Rain,-7.3,27.4167,,Hotel hewa bora
205,Nelson Bay,AU,77.09,Clear,-32.7167,152.15,,Mantra Nelson Bay
206,Sorong,ID,82.8,Clouds,-0.8833,131.25,,Waigo Splash Hotel
207,Esperance,AU,71.44,Clouds,-33.8667,121.9,,Hospitality Esperance
209,Bambous Virieux,MU,77.25,Rain,-20.3428,57.7575,,Casa Tia Villa
211,Jardim,BR,75.45,Clouds,-21.4803,-56.1381,,Estancia Hotel - Jardim MS
212,Lorengau,PG,82.0,Clouds,-2.0226,147.2712,,Lorengau Harbourside Hotel
219,Ahipara,NZ,67.8,Clouds,-35.1667,173.1667,,Ahipara Holiday Park
222,Tebingtinggi,ID,75.7,Clouds,3.3285,99.1625,,Hotel Malibou tebing tinggi
224,Kirakira,SB,83.39,Clouds,-10.4544,161.9205,,SanBiz Lodge
225,Mweka,CD,70.16,Clouds,-4.85,21.5667,,Guest House Boshab
226,Santa Maria,BR,67.3,Mist,-29.6842,-53.8069,,Hotel Morotin
227,San Rafael,AR,67.39,Clear,-34.6177,-68.3301,,Hotel San Rafael
231,Padang,ID,80.65,Clouds,-0.9492,100.3543,,Mercure Padang
232,Yaan,NG,81.81,Clouds,7.3833,8.5667,,
233,Merauke,ID,86.25,Clouds,-8.4667,140.3333,,
235,Araouane,ML,81.48,Clouds,18.9048,-3.5265,,
236,Jiayuguan,CN,66.22,Clear,39.8167,98.3,,Jiugang Hotel - Jiayuguan
238,Chirilagua,SV,77.52,Clouds,13.2203,-88.1386,,Hogar De Espera Materno
239,Coahuayana,MX,70.52,Clouds,18.7333,-103.6833,,El rranchito michuacan de ocampos
243,Port Macquarie,AU,73.89,Clouds,-31.4333,152.9167,,Rydges Port Macquarie
245,Victoria,HK,78.04,Clear,22.2855,114.1577,,Mini Hotel Central
247,Belmonte,BR,75.81,Clear,-15.8631,-38.8828,,Pousada Monte Carmelo O Pão
248,Bubaque,GW,75.43,Clouds,11.2833,-15.8333,,"Casa Dora, Bubaque"
249,Semnan,IR,67.84,Clear,35.5729,53.3971,,Semnan Tourist Hotel
250,Pacific Grove,US,82.08,Clear,36.6177,-121.9166,,Lovers Point Inn
252,Inhambane,MZ,73.72,Rain,-23.865,35.3833,,Oceano
255,Vanimo,PG,85.03,Clouds,-2.6741,141.3028,,Vahmoneh Lodge Vanimo
258,Arlit,NE,84.36,Clear,18.7369,7.3853,,Case de Passage De la Prefecture
259,Santa Isabel Do Rio Negro,BR,74.59,Clouds,-0.4139,-65.0192,,Hotel GSA
260,Oranjestad,AW,80.55,Clouds,12.524,-70.027,,Divi Village Golf & Beach Resort
261,Acarau,BR,77.31,Clouds,-2.8856,-40.12,,castelo pizzaria
263,Alugan,PH,76.48,Rain,12.2188,125.4808,,JM Lodge
264,Matara,LK,78.3,Clouds,5.9485,80.5353,,Amaloh Boutique Resort
265,Flinders,AU,72.18,Rain,-34.5833,150.8552,,Shellharbour Resort & Conference Centre
266,Bahia Honda,CU,77.85,Clouds,22.9036,-83.1592,,Casa Gualberto - Deysi
270,Belem De Sao Francisco,BR,79.72,Clouds,-8.7539,-38.9658,,Village Hotel
273,Samarai,PG,82.96,Rain,-10.6167,150.6667,,Nuli Sapi
274,Labuhan,ID,81.01,Clouds,-6.8844,112.2051,,DoubleFAG
275,Karimganj,IN,79.45,Clear,24.8667,92.35,,Ahar Hotel And Aheli Restaurant
276,The Valley,AI,78.66,Clear,18.217,-63.0578,,CeBlue Villas & Beach Resort
278,Tautira,PF,80.8,Rain,-17.7333,-149.15,,Pension Oaoa
279,Srandakan,ID,82.15,Clouds,-7.9386,110.2506,,Puri Brata
281,Mahebourg,MU,77.29,Clouds,-20.4081,57.7,,Shandrani Beachcomber Resort & Spa
282,Tessalit,ML,82.22,Clear,20.1986,1.0114,,
283,Sao Felix Do Xingu,BR,71.94,Clouds,-6.6447,-51.995,,Rio Xingu Camping
284,Salalah,OM,77.45,Clouds,17.0151,54.0924,,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
287,Katakwi,UG,67.48,Clouds,1.8911,33.9661,,Ebenezer Guest House
289,Salinas,US,83.01,Clear,36.6777,-121.6555,,Laurel Inn & Conference Center
290,Puerto Ayacucho,VE,78.96,Clouds,5.6639,-67.6236,,Posada Turistica Manapiare
